Part,Description,URL,URL Note,Price (USD) (raw),URL (Alt),Price (Alt) (USD),URL Note (Alt),Quantity (per unit),Sourcing,,Total Needed,Quantity * Price
185x400 Polycarbonate,5mm thick,https://clearambershop.com/en-us/products/axgard-clear-5mm-uv-protected-glazing-sheet,in the uk,40.55,https://www.lowes.com/pd/Professional-Plastics-Clear-Polycarbonate-Sheet-3-16TX48WX48L/7134359,78.9,"its double the size needed, cant find a smaller one :(",2,Need to buy,of this section,81.16,
330x400 Polycarb sheet,~,https://clearambershop.com/en-us/products/axgard-clear-5mm-uv-protected-glazing-sheet,,20,,,,1,Need to buy,,,
330mm 2020 aluminum extrusion,,https://www.zyltech.com/aluminum-extrusion-custom-cut-service/,,2.26,,,,2,Already have,,,
140mm 2020 aluminum extrusion,,~,,2.26,,,,2,Need to buy,,,
300x80mm Plastic/rubber sheet,i'll just upcycle some trash,,,,,,,1,Already have,,,
Anti-slip rubber pad adhesive,20x20mm squares,https://www.aliexpress.us/item/3256807696141646.html,,1,,,,4,Already have,,,
,,,,,,,,,,,,
Bottom (water) tank,3d print (large),,,,,,,1,Self-print,,,
Surface fork holder,~,,,,,,,1,Self-print,,,
Gear,~,,,,,,,1,Self-print,,,
Tube guide,~,,,,,,,1,Self-print,,,
Motor mount,~,,,,,,,1,Self-print,,,
Power supply mount,~,,,,,,,1,Self-print,,,
Electronics cover,~,,,,,,,1,Self-print,,,
Water atomizer mount,~,,,,,,,1,Self-print,,,
Rain tank,~ (large),,,,,,,1,Self-print,,,
Rain tank holder,~,,,,,,,1,Self-print,,,
Rain tank holder 2,~,,,,,,,1,Self-print,,,
Top tube holder,~,,,,,,,1,Self-print,,,
Spacer,~,,,,,,,2,Self-print,,,
,,,,,,,,,,,,
Water sensor,generic,https://www.aliexpress.us/item/3256806203259773.html,,1.01,,,,1,Need to buy,of this section,11.51,
Water atomizer,includes wick & control board,https://www.aliexpress.us/item/3256809269681816.html,,1.3,,,,1,Need to buy,,,
Water pump (350L/H),"generic, includes tube",https://www.dfrobot.com/product-667.html,,9.2,,,,1,Need to buy,,,
