Designator,Mid X,Mid Y,Rotation,Layer
C1,122.0,-87.225,90.0,top
C10,140.475,-113.9,0.0,top
C11,140.5,-115.5,0.0,top
C12,145.8,-117.8,270.0,top
C13,144.29,-117.775,270.0,top
C14,142.78,-117.775,270.0,top
C15,141.29,-117.775,270.0,top
C16,150.405,-113.4,0.0,top
C17,153.505,-113.4,180.0,top
C2,122.0,-90.225,270.0,top
C3,122.0,-94.225,270.0,top
C4,154.2,-102.775,270.0,top
C5,154.2,-99.725,90.0,top
C6,139.16,-109.155,270.0,top
C7,143.625,-113.8,180.0,top
C8,147.075,-95.4,0.0,top
C9,156.025,-95.4,0.0,top
D1,124.55,-109.3,180.0,top
D2,153.0,-109.3,180.0,top
J2,176.5,-106.73,180.0,top
J3,164.5,-123.5,90.0,top
J4,135.8,-109.77,180.0,top
J5,167.32,-88.075,180.0,top
J6,133.4,-122.8,0.0,top
R1,122.0,-97.825,90.0,top
R2,170.9,-93.6625,0.0,top
R3,163.675,-93.6625,0.0,top
R4,142.435,-108.43,0.0,top
R5,144.56,-111.455,90.0,top
SW1,148.5,-89.85,90.0,top
SW2,157.5,-89.85,90.0,top
U1,132.81,-91.59,0.0,top
U10,167.3,-94.3,270.0,top
U11,152.14,-116.17,180.0,top
U12,135.11,-115.475001,0.0,top
U2,148.2,-101.2,180.0,top
U4,164.73,-108.27,0.0,top
U5,151.88,-124.1,0.0,top
U6,156.47,-124.1,0.0,top
U7,142.7,-124.1,0.0,top
U8,147.29,-124.1,0.0,top
U9,141.9,-110.8,90.0,top
